,ADM0_NAME,ADM1_NAME,ADM2_NAME,CITY,COMMENTS,CONF_IMAGE,GLOBALID,IMGNAME,ISO3,NAME,SOURCE,SOURCE2,SOURCE2_DT,SOURCE_DT,SPA_ACC,TYPE,OBJECTID,country_code,sdr_id,sdr_name,sdr_level
78,Liberia,Montserrado,Greater Monrovia,Monrovia,Baptist,Assessed,8bff900e-8d91-4a2c-9383-bd7696653e3e,80.jpeg,LBR,Duport Road Baptist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,80,LR,5580,Greater Monrovia,ADM2
79,Liberia,Montserrado,Greater Monrovia,Monrovia,Methodist,Reported,44957523-71bd-40be-b943-ed768b9df9d6,81.jpeg,LBR,Saving Faith Free Methodist World Mission Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,81,LR,5580,Greater Monrovia,ADM2
80,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,571e6a55-8c7e-413b-862c-c76ab8bf8c6d,82.jpeg,LBR,Victory Temple Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,82,LR,5580,Greater Monrovia,ADM2
81,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,615b9320-b2a5-47d6-b0e7-b98f82aa845b,83.jpeg,LBR,Forestland Community Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,83,LR,5580,Greater Monrovia,ADM2
82,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,95dd3f2b-7b0b-4167-bd4d-663d36254512,84.jpeg,LBR,Deeper Life Bible Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,84,LR,5580,Greater Monrovia,ADM2
83,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,156af9a3-9cc5-41a3-a7c9-3bb0dabaaa33,85.jpeg,LBR,Mt.Carmel Open Bible Standard Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,85,LR,5580,Greater Monrovia,ADM2
84,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,aacb5ab7-71ae-410c-9f30-d40a12189706,86.jpeg,LBR,Green Pastures Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,86,LR,5580,Greater Monrovia,ADM2
85,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,e4ed4ad4-1ec7-4f34-9202-9a36f0b0d8c1,87.jpeg,LBR,The Redeemed Christian Church of God,Google,DigitalGlobe,September 2014,September 2014,1,Church,87,LR,5580,Greater Monrovia,ADM2
86,Liberia,Montserrado,Greater Monrovia,Monrovia,Has a mission school,Confirmed,89d870f6-f8c9-470d-8c1f-e4141dae365b,88.jpeg,LBR,St. Peters Lutheran Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,88,LR,5580,Greater Monrovia,ADM2
87,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,d2e033ad-c170-4d38-945c-e0beed6fe120,89.jpeg,LBR,Philadelphia Church Liberia,Google,DigitalGlobe,September 2014,September 2014,1,Church,89,LR,5580,Greater Monrovia,ADM2
88,Liberia,Montserrado,Greater Monrovia,Monrovia,Baptist,Assessed,a69e2a83-9972-4610-a444-5151d1efa056,90.jpeg,LBR,Providence Baptist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,90,LR,5580,Greater Monrovia,ADM2
89,Liberia,Margibi,Firestone,Harbel,999999,Unconfirmed,2b3f5bb2-0677-4133-a327-caa6852a9fbc,91.jpeg,LBR,Harbels Community Church,GeoNames,999999,999999,September 2014,3,Church,91,LR,5559,Firestone,ADM2
90,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,740dc47c-59bc-4fd4-b49b-d6a40cdf4f5c,92.jpeg,LBR,City of Truth Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,92,LR,5580,Greater Monrovia,ADM2
91,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,a82aa3fc-1c17-474f-a120-84ffc16acfc1,93.jpeg,LBR,Garden of Prayer Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,93,LR,5580,Greater Monrovia,ADM2
92,Liberia,Nimba,Yarmein,Yekepa,Methodist,Assessed,e2987028-54b3-4bbb-958e-70a40897e4d4,94.jpeg,LBR,Yekepa United Methodist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,94,LR,5644,Yarmein,ADM2
93,Liberia,Montserrado,Greater Monrovia,Monrovia,Baptist,Assessed,f0a00497-3ac4-4e3f-abf2-3c859a0039e1,95.jpeg,LBR,Calvary Baptist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,95,LR,5580,Greater Monrovia,ADM2
94,Liberia,Nimba,Garr Bain,Ganta,999999,Assessed,438eebeb-91e9-417f-946a-7128db6551a9,96.jpeg,LBR,Royal Community Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,96,LR,0,,
95,Liberia,Montserrado,Greater Monrovia,Monrovia,Catholic,Assessed,3b0ff6ca-4e4d-40e1-8a4f-0ad9883be977,97.jpeg,LBR,St. Edward Catholic Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,97,LR,5580,Greater Monrovia,ADM2
96,Liberia,Montserrado,Greater Monrovia,Monrovia,Baptist,Assessed,f8fa570c-3eae-4196-a8a1-bf30914db185,98.jpeg,LBR,Restoration Baptist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,98,LR,5580,Greater Monrovia,ADM2
97,Liberia,Montserrado,Greater Monrovia,Monrovia,Catholic,Assessed,36357805-8882-4b19-a218-13cb3091f7e3,99.jpeg,LBR,St. Kizito Catholic Church ,Google,DigitalGlobe,September 2014,September 2014,1,Church,99,LR,5580,Greater Monrovia,ADM2
98,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,ef6a7aae-0faf-4f8d-887e-309a3d639827,100.jpeg,LBR,Apostolic Faith Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,100,LR,5580,Greater Monrovia,ADM2
99,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,12f60f64-2121-4f06-81fb-010b6d8ccdb3,101.jpeg,LBR,AGM Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,101,LR,5580,Greater Monrovia,ADM2
100,Liberia,Grand Bassa,District #2,Suanbli,999999,Assessed,cbaf70c7-3a24-4f1e-b7e8-11e2cefa8b04,102.jpeg,LBR,Church of the Lord Jesus Christ,Google,DigitalGlobe,September 2014,September 2014,1,Church,102,LR,77130,District #2,ADM2
101,Liberia,Grand Bassa,Neekreen,Buchanan,999999,Assessed,62a76d80-42c0-4987-9e45-2d2aa504bee7,103.jpeg,LBR,True Jesus Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,103,LR,5604,Neekreen,ADM2
102,Liberia,Grand Bassa,Commonwealth B,Buchanan,Catholic Church,Confirmed,96750f71-733f-4d52-a528-4d7a4d9d30b5,104.jpeg,LBR,999999,Google,DigitalGlobe,September 2014,September 2014,1,Church,104,LR,10715,Commonwealth B,ADM2
103,Liberia,Margibi,Kakata,Kakata,999999,Assessed,d116d4cd-f1fe-4540-a009-e266ddf2f9ff,105.jpeg,LBR,Whenney Town Community Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,105,LR,5589,Kakata,ADM2
104,Liberia,Nimba,Garr Bain,Ganta,Baptist,Assessed,aafe7319-0d21-4255-a4b3-2cb20d25dad6,106.jpeg,LBR,Triumpet Baptist Mission Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,106,LR,0,,
105,Liberia,Margibi,Kakata,Kakata,999999,Assessed,40085094-8190-4666-84d8-e4877b918641,107.jpeg,LBR,Walkerfarm Community Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,107,LR,5589,Kakata,ADM2
106,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,5ecf2ad5-6fd3-4cbf-907f-716b2e43caea,108.jpeg,LBR,Team Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,108,LR,5580,Greater Monrovia,ADM2
107,Liberia,Nimba,Sanniquellie Mahn,Sanniquellie,Baptist,Assessed,2eec0628-3ec9-4026-af14-29ed242dfdc5,109.jpeg,LBR,Ebeneezer Baptist Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,109,LR,5620,Sanniquellie Mahn,ADM2
108,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,c64026a4-f2bd-4bdc-b966-1e4b13cdc45b,110.jpeg,LBR,Monrovia Christian Fellowship Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,110,LR,5580,Greater Monrovia,ADM2
109,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,1a2dc8ad-aacf-4059-bca2-1504d5272062,111.jpeg,LBR,Wheinzon Community Church,Google,DigitalGlobe,September 2014,September 2014,1,Church,111,LR,5580,Greater Monrovia,ADM2
110,Liberia,Grand Gedeh,Tchien,Zwedru,999999,Assessed,befc934f-b01a-4486-a640-6b6032d14d83,112.jpeg,LBR,Mandingo,OpenStreetMap,DigitalGlobe,September 2014,September 2014,1,Mosque,112,LR,5628,Tchien,ADM2
111,Liberia,Montserrado,Greater Monrovia,Monrovia,999999,Assessed,cd15f87d-d7ce-46db-9412-a4f72d8b8434,113.jpeg,LBR,Archdiocese of Liberia,OpenStreetMap,DigitalGlobe,September 2014,September 2014,1,Church,113,LR,5580,Greater Monrovia,ADM2
112,Liberia,Grand Cape Mount,Golakonneh,Masating,Part of the Masating Leper Colony,Assessed,fe180028-84ee-4338-9504-e99b87905181,114.jpeg,LBR,Masating Church,OpenStreetMap,DigitalGlobe,September 2014,September 2014,1,Church,114,LR,5577,Golakonneh,ADM2
113,Liberia,Margibi,Kakata,Kakata,999999,Assessed,f55de5e2-21f1-41cb-9844-197b9b9fd01e,115.jpeg,LBR,Evening Star Church,OpenStreetMap,DigitalGlobe,September 2014,September 2014,1,Church,115,LR,5589,Kakata,ADM2
114,Liberia,Margibi,Kakata,Kakata,999999,Assessed,31f000c3-c4b8-425e-9536-189771f698c8,116.jpeg,LBR,Saint Augustine Church,OpenStreetMap,DigitalGlobe,September 2014,September 2014,1,Church,116,LR,5589,Kakata,ADM2
115,Liberia,Montserrado,Careysburg,999999,999999,Assessed,dba1ad20-9dee-45be-bd7e-2a7e0ec1103e,117.jpeg,LBR,999999,OpenStreetMap,DigitalGlobe,September 2014,September 2014,1,999999,117,LR,5542,Careysburg,ADM2
